,﻿銘柄コード,銘柄名,業種,上場市場,次回決算発表日,次回決算発表時間,時価総額,Average Daily Volume(25days),株価,前営業日終値,本日の株価変化率,Bid,Ask,Mid,Mid_Chg_Pct,当日のVolume,Day_High,Day_Low,過去1カ月トータルリターン,過去3か月トータルリターン,過去6か月トータルリターン,過去1年トータルリターン,過去3年トータルリターン,過去5年トータルリターン,25日移動平均,RSI(14日間),配当利回り,PER,PBR,現値と25日移動平均の乖離,Updated_At
1,1301 JT Equity,極洋,Food Products,プライム,2026/05/15,10:00,54956187650,59029.62963,4550,4575,-0.005464481,4545,4555,4550,-0.004920722,116100,4555,4485,-0.084507042,-0.084507042,-0.039482798,0.110740271,0.387911035,0.82728049,4935.925926,18.95871132,0.032967033,8.465184316,0.730401158,-0.078187139,2026/04/28 6:57
2,130A JT Equity,Veritas In Silico,Life Sciences Tools & Services,グロース,2027/02/12,,3068404922,24714.81481,473,463,0.021598272,469,473,471,0.017278618,27800,473,463,0.026030369,-0.016632017,-0.150807899,-0.305433186,-0.81087565,-0.81087565,472.5925926,48.07016521,,,1.720077473,0.000862069,2026/04/28 6:57
3,1332 JT Equity,ニッスイ,Food Products,プライム,2026/05/14,11:00,3.8632E+11,1232355.556,1236.5,1214,0.018533773,1235,1237,1236,0.019171305,1236700,1236.5,1211.5,-0.078270593,-0.013314071,0.174956521,0.467036195,1.26557963,1.819239199,1326.777778,32.67007223,0.025879499,13.26761766,1.320475895,-0.068042877,2026/04/28 6:57
4,1333 JT Equity,Ｕｍｉｏｓ,Food Products,プライム,2026/05/11,14:00,2.03403E+11,505951.8519,1340.5,1321,0.014761544,1338,1340.5,1339.25,0.014391214,379700,1340.5,1314.5,-0.080274443,-0.020083845,0.197691251,0.281546047,0.746913707,0.885223458,1436.166667,29.47167663,0.030336938,13.73427813,0.846447186,-0.06661251,2026/04/28 6:57
5,135A JT Equity,VRAIN Solution,Software,グロース,2026/07/14,,33537120000,134829.6296,3270,3365,-0.028231798,3265,3290,3277.5,-0.02527881,71500,3385,3265,0.38559322,0.260115607,0.132271468,0.320678514,-0.437177281,-0.437177281,2874,58.43382115,,51.65876777,16.07723873,0.137787056,2026/04/28 6:57
6,1375 JT Equity,ユキグニファクトリー,Food Products,プライム,2026/05/11,14:00,42145699200,42444.44444,1056,1047,0.008595989,1050,1057,1053.5,0.005727924,35500,1056,1047,-0.010309278,0.018965924,0.017994555,-0.080755811,0.079457799,-0.403838528,1060.777778,49.34951967,0.015151515,16.3895732,2.89618072,-0.004504033,2026/04/28 6:57
7,1376 JT Equity,カネコ種苗,Food Products,スタンダード,2026/07/10,,16881945684,19359.25926,1434,1394,0.028694405,1426,1435,1430.5,0.025448029,27200,1434,1398,-0.028455285,-0.023160763,-0.158191774,0.026125934,-0.036227773,0.011138884,1458.666667,46.84698732,0.026499303,12.24543678,0.615376259,-0.01691042,2026/04/28 6:57
8,1377 JT Equity,サカタのタネ,Food Products,プライム,2026/07/14,,1.88001E+11,176151.8519,4140,4160,-0.004807692,4135,4145,4140,-0.006002401,145000,4165,4120,-0.036088475,0.029850746,0.057037574,0.270103585,0.104097303,0.162716045,4294.62963,37.66432437,0.019323671,18.19946367,1.010886523,-0.036005347,2026/04/28 6:57
9,1379 JT Equity,ホクト,Food Products,プライム,2026/05/15,14:00,61380633600,90007.40741,1840,1834,0.003271538,1831,1842,1836.5,0.003003823,65300,1840,1826,-0.039164491,-0.053649448,0.002788923,0.029336604,0.069709677,0.056164751,1910.111111,27.22972923,0.029891304,12.72468694,0.92861161,-0.036705253,2026/04/28 6:57
10,137A JT Equity,Cocolive,Software,グロース,2026/07/10,,2194608640,6507.407407,721,716,0.00698324,718,719,718.5,0.001393728,3500,728,713,0.034433286,-0.075641026,-0.403639371,-0.477536232,-0.781183612,-0.781183612,715.2962963,47.35214602,,13.30479231,2.111451244,0.007973904,2026/04/28 6:57
