code,name,market,price,asai_score,recommendation,ret_1m,ret_3m,rsi,ma25_diff,pbr,per,div_yield,catalyst_days,mktcap
6101,ツガミ,プライム,4510.0,71.7,BUY候補,0.394126739,0.51349164,64.46072909,0.162038362,2.842556755,14.14541374,0.018847007,14.0,216480000000.0
9519,レノバ,プライム,1117.0,68.8,BUY候補,0.275114155,0.633040936,70.29753549,0.190643506,0.898912607,14.18543349,,14.0,101929000000.0
255A,ジーエルテクノホールディング,スタンダード,4975.0,67.8,BUY候補,0.581875994,0.579935042,68.72809346,0.260025327,1.382025865,13.83159596,0.022311558,14.0,68064119250.0
6336,石井表記,スタンダード,1140.0,66.9,BUY候補,0.33960047,0.497200258,66.774864,0.158798283,0.873167277,9.98852835,0.024561404,44.0,9321155280.0
6143,ソディック,プライム,1556.0,65.8,BUY候補,0.249799197,0.503381643,69.91580958,0.127748101,0.870602378,20.26354327,0.018637532,13.0,85256723884.0
3105,日清紡ホールディングス,プライム,1977.5,65.5,BUY候補,0.336148649,0.436614602,74.61508092,0.178915643,1.07504079,18.26614382,0.018204804,13.0,334848000000.0
3436,ＳＵＭＣＯ,プライム,2366.5,65.0,BUY候補,0.328002245,0.567737661,69.57991269,0.195548653,1.430886053,,0.008451299,13.0,828689000000.0
4588,オンコリスバイオファーマ,グロース,2997.0,64.2,BUY候補,0.337946429,0.915015974,64.04691772,0.169332813,21.93368377,,,9.0,87820191900.0
6492,岡野バルブ製造,スタンダード,17650.0,63.8,BUY候補,0.564716312,1.639730053,72.71729296,0.396360759,2.292233408,,0.004532578,15.0,31646450000.0
6703,沖電気工業,プライム,3385.0,63.6,BUY候補,0.286583048,0.748300352,64.1192527,0.120586072,1.921930272,19.80861635,0.019202363,14.0,295232000000.0
6961,エンプラス,プライム,16600.0,63.4,BUY候補,0.386800334,0.847273394,59.01668605,0.124491946,2.467832697,29.1896237,0.005421687,1.0,161566000000.0
6800,ヨコオ,プライム,4370.0,63.4,BUY候補,0.473364801,1.043457298,62.36873363,0.175925372,1.832004613,36.63819954,0.011899314,14.0,104224000000.0
6666,リバーエレテック,スタンダード,976.0,63.3,BUY候補,0.348066298,1.208405239,57.06782827,0.170627693,1.849990687,,0.010245902,16.0,8484028352.0
6217,津田駒工業,スタンダード,1945.0,63.0,BUY候補,3.284140969,2.969387755,72.36138031,1.295135702,4.725572444,,,72.0,13240694475.0
7375,リファインバースグループ,グロース,2175.0,63.0,BUY候補,0.576504714,1.426339286,61.4286483,0.297818736,19.68316604,45.92044285,,16.0,7282815675.0
6029,アトラグループ,スタンダード,203.0,62.5,BUY候補,0.429577465,0.201183432,61.81368588,0.252513711,1.228866782,10.54286347,,16.0,2088261000.0
6779,日本電波工業,プライム,1781.0,62.3,BUY候補,0.457446809,0.802861702,59.70965297,0.181905324,1.326965809,32.38656252,0.016844469,15.0,41192045505.0
5706,三井金属,プライム,40960.0,61.6,BUY候補,0.384069001,0.90792578,67.48637638,0.196138766,6.446119363,30.84897715,0.005859375,14.0,2351740000000.0
4022,ラサ工業,プライム,2074.0,61.5,BUY候補,0.290863891,0.449288095,67.26037762,0.209799728,2.680963831,18.36226043,0.016385543,15.0,82381385110.0
6981,村田製作所,プライム,4941.0,61.3,BUY候補,0.398132428,0.563521799,72.72704894,0.188322273,3.440167304,38.66968368,0.012143291,1.0,9699190000000.0
7256,河西工業,スタンダード,377.0,61.0,BUY候補,0.438931298,1.371069182,60.56370132,0.296192538,1.512571809,,,16.0,14895921456.0
